cuisine	types	name	ingredients	difficulty	health_banners
	['dessert']	Gooseberry cheesecake	['750g gooseberries', '4 tbsp  elderflower cordial', '1 orange, zested and juiced', '125g ginger biscuits', '125g digestive biscuits', '125g unsalted butter', '500g soft cheese', '250g mascarpone', '125g icing sugar']	Easy	['Vegetarian']
['spanish']	['brunch']	Chorizo & kale hash with a fried egg	['1 tsp mild olive oil, plus extra for frying', '80g spicy chorizo sausages, cut into small pieces (see tip, below)', '1 onion, finely chopped', 'about 100g ready-prepared kale (2 good handfuls)', '400g leftover cold potato, roughly chopped', '½ tsp paprika (optional)', '2 eggs']	Easy	[]
['french']	['side-dish']	Baguettes (French bread)	['200g strong white bread flour', '½ tsp easy-bake yeast from a 7g sachet', '200g plain white flour', '250g strong white flour, plus extra for dusting and kneading', 'the rest of the yeast from the 7g sachet', '1 ½ tsp fine salt', 'a little semolina, or more flour, for dusting ']	More effort	['Freezable']
	['dinner', 'main-course']	Spinach, ricotta & chicken traybake	['3 x bags  baby spinach', '4 tbsp ricotta', 'zest and juice 1 lemon', 'a few grinds of  nutmeg', '4 skinless  chicken breasts', '2 tbsp olive oil', '50g fresh  breadcrumb, seasoned', '3 courgettes, cut into batons', '2 peppers, sliced', '2 red onions, cut into wedges, roots intact', '250g vine  cherry tomato', '4 garlic cloves']	Easy	['Healthy']
		Moroccan vegetable stew	['1 tbsp cold-pressed rapeseed oil', '1 medium onion, peeled and finely sliced ', '2 thin leeks, trimmed and cut into thick slices ', '2 large garlic cloves, peeled and finely sliced', '2 tsp ground coriander', '2 tsp ground cumin', '½ tsp dried chilli flakes', '¼ tsp ground cinnamon', '400g can of chopped tomatoes', '1 red pepper, deseeded and cut into chunks', '1 yellow pepper, deseeded and cut into chunks', '400g can of chickpeas, drained and rinsed', '100g dried split red lentils', '375g sweet potatoes, peeled and cut into chunks', 'juice 1 large orange plus peel, thickly sliced with a vegetable peeler', '50g mixed nuts, such as brazils, hazelnuts, pecans and walnuts, toasted and roughly chopped', '½ small pack coriander, roughly chopped, to serve', 'full-fat natural bio-yogurt, to serve (optional)']	Easy	['Freezable', 'Gluten-free', 'Healthy', 'Vegetarian']
['british']	['dinner', 'main-course', 'supper']	Lamb steaks with rosemary sweet potatoes	['2 tbsp olive oil', '4 lamb leg steaks', '3 sweet potatoes, finely sliced', '1 red onion, halved & sliced', 'sprig fresh rosemary or 1 tsp of dried', '2 tbsp wholegrain mustard']	Easy	['Easily halved']
	['lunch']	Caprese sandwich	['4 thick slices of  focaccia or 8 slices of bread, to serve', '2 tbsp basil pesto (ensure vegetarian, if needed)', '2 tsp extra virgin olive oil', 'handful of rocket', '2 x 125g balls of  mozzarella, sliced (ensure vegetarian, if needed)', '2 large ripe tomatoes, sliced', 'small handful of basil leaves', '1⁄2 small red onion, sliced (optional)', '2 tsp thick balsamic vinegar']	Easy	['Vegetarian']
['spanish']	['dinner', 'main-course']	Spanish chicken	['8 chicken thighs, skin on and bone in', '3 onions, thinly sliced', '2 tsp paprika', 'zest and juice 1  lemon', 'good handful parsley, roughly chopped', '150ml stock', '1 tbsp olive oil']	Easy	[]
	['snack', 'soup', 'starter']	Miso soup	['5g dried wakame seaweed', '1l dashi (shop bought or see tip)', '200g fresh silken tofu, or firm if you prefer, cut into 1cm cubes', '2 tbsp white miso paste', '3 tbsp red miso paste', 'spring onion, finely chopped, to serve  ']	Easy	['Dairy-free', 'Egg-free', 'Vegan']
	['dessert', 'treat']	Coconut flour cookies	['75g coconut flour', '60g coconut oil, melted', '2 eggs', '2 tbsp peanut butter', '60g light brown soft sugar', '¼ tsp baking powder', '2 tbsp chocolate chips (optional)']	Easy	['Dairy-free', 'Vegetarian']
		Moroccan-spiced turkey pie	['2 tsp coriander seeds', '2 tsp cumin seeds', 'pinch of ground cinnamon', '2 tbsp olive oil', '2 aubergines, cut into small dice', '2 banana shallots, halved and sliced', '2 tbsp harissa', '2 peppers (any colours will do), deseeded and diced', '227g can chopped tomatoes', '1 chicken stock cube', '500g leftover turkey (a mix of leg and breast is best), chopped', '100g butter, melted, plus extra for greasing', '250g pack (about 10 large sheets) filo pastry', '25g flaked almonds']	Easy	[]
['british']	['main-course']	Carrot & tomato soup	['3 tbsp olive oil', '2 onions, chopped', '2 celery sticks, chopped', '1 ¼kg carrot, sliced', '250g floury potato, diced', '5 bay leaves (fresh or dried)', '500g carton passata', '750g cherry tomato', '2 vegetable stock cubes', '1 tbsp sugar (caster or granulated)', '1 tbsp red wine vinegar', '250ml whole milk']	Easy	['Freezable', 'Vegetarian']
	['dinner', 'lunch', 'main-course', 'supper']	Mushroom jacket potatoes	['2 large potatoes', '2 tsp sunflower oil', '250g mushrooms', '100g sour cream & chive dip', 'sprigs of dill (to garnish)']	Easy	['Gluten-free', 'Healthy', 'Vegetarian']
['asian']	['dinner', 'main-course', 'supper']	Penang prawn & pineapple curry	['100g fresh coconut flesh', '2 tsp sunflower oil', 'thumb-sized piece ginger, peeled', '6 garlic cloves, peeled', '1 ½ tbsp mild curry powder', '100ml sunflower oil', '7 curry leaves', '1 cinnamon stick', '1 star anise', '3 cardamom pods', '6 cloves', '6 shallots, thinly sliced lengthways', '3 tbsp tamarind paste', '1 pineapple, peeled, cored and cut into chunks', '1 tbsp palm sugar or soft brown sugar', '400ml can full-fat thick coconut milk', '24 large raw king prawns, peeled', 'handful coriander leaves and cooked white or brown rice, to serve']	Easy	['Freezable']
	['dessert']	Keto mug cake	['1 tbsp salted butter, plus extra for the mug', '1 tbsp peanut butter', '30ml almond or coconut milk', '1 egg', '45g ground almonds', '2 tsp cacao powder', '2 tbsp xylitol', 'Greek yogurt,', 'nut butter,', 'desiccated coconut,']	Easy	['Egg-free', 'Keto', 'Low sugar', 'Vegetarian']
	['lunch']	Panuozzo sandwich	['300g strong white bread flour, plus extra for dusting', '3g (about half a sachet) fast-action dried yeast', '1 tbsp olive oil', '1 tomato, halved and sliced', '4 slices cooked ham', '150g mozzarella ball, sliced and seasoned', 'small handful of rocket (optional)', '6 tbsp pesto (see below for the recipe)', '1 tbsp olive oil']	Easy	[]
	['side-dish']	Roasted radishes	['400g radishes', '6 garlic cloves, unpeeled and bashed', '1 tbsp rapeseed oil']	Easy	['Dairy-free', 'Egg-free', 'Gluten-free', 'Healthy', 'Vegan', 'Vegetarian']
	['dinner', 'lunch', 'main-course', 'pasta', 'supper']	Garlicky mushroom penne	['210g can chickpeas, no need to drain', '1 tbsp lemon juice', '1 large garlic clove', '1 tsp vegetable bouillon', '2 tsp tahini', '¼ tsp ground coriander', '115g wholemeal  penne', '2 tsp rapeseed oil', '2 red onions, halved and sliced', '200g closed cup  mushrooms, roughly chopped', '½ lemon, juiced', 'generous handful chopped parsley']	Easy	['Healthy', 'Vegan', 'Vegetarian']
['british']	['dessert', 'dinner', 'lunch', 'snack', 'supper']	Quick banana ice cream	['4 ripe bananas, cut into chunks', '3-4 tbsp milk', '2 tbsp toasted flaked almonds', '2 tbsp ready-made toffee or chocolate sauce']	Easy	['Freezable']
	['afternoon-tea', 'dessert']	Fig sponge pudding	['250g butter, softened, plus extra for the dish', '5 tbsp golden syrup', '4 tbsp honey', '8 fresh figs', '4 large eggs', '250g golden caster sugar', '250g self-raising flour', '1 tsp baking powder', '1 tsp vanilla extract', '4 tbsp full-fat Greek yogurt', '2-3 thyme sprigs (optional)', 'extra virgin olive oil or honey, for drizzling (optional)']	Easy	['Vegetarian']
['british']	['dessert', 'dinner']	Lemon quark cheesecake	['80g digestive biscuit', '50g melted butter', '200g light soft cheese', '500g quark', '200g icing sugar', 'zest 2 lemons, juice of 3', '4 gelatine sheets']	Easy	[]
	['afternoon-tea', 'dessert', 'treat']	Apple & almond cake	['125ml (½ cup) olive oil', '140g (½ cup) maple syrup or agave syrup ', '2 eggs', '130g (1/2 cup) apple sauce  (shop-bought or homemade)', '185g (2 cups) ground almonds', '1 tsp baking powder', '1 tsp cinnamon', '1 apple, skin-on, cored and diced', 'tiny splash olive oil', '1 tbsp maple syrup', '½ tsp cinnamon']	Easy	['Gluten-free', 'Vegetarian']
	['dinner']	Broccoli cheese with wholemeal pasta & brown breadcrumbs	['300g short wholemeal pasta shapes', '800g broccoli (about 3 heads), cut into large florets', '2 tbsp olive oil', '1.2 litres milk', '1 bay leaf, scrunched up a little', '60g butter', '60g plain flour', '200g cheddar, grated', '1 tbsp Dijon mustard', '¼ tsp freshly grated nutmeg', '60g fresh brown breadcrumbs']	Easy	['Vegetarian']
	['dessert']	Lemon & rhubarb rice pudding	['100g pudding rice', '1l milk', '50g caster sugar', '250g rhubarb', '1 chopped ball of stem ginger in syrup', '100ml double cream', '3-4 tbsp lemon curd']	Easy	['Gluten-free', 'Vegetarian']
	['dinner', 'main-course', 'supper']	Cauliflower, squash, coconut & lentil curry	['1 tbsp oil', '1 onion, chopped', '1 tbsp garam masala', '1 tbsp turmeric', '200g red lentils', '400ml can coconut milk', 'small bunch coriander, chopped', 'cooked wholegrain basmati rice, to serve', 'coconut yogurt (dairy free) , to serve', '1 cauliflower, split into florets, the stalk cut into cubes', '½ large butternut squash, cut into cubes', '1 tbsp oil']	Easy	['Freezable (cauliflower &amp; squash base only )', 'Gluten-free', 'Vegan', 'Vegetarian']
['french']	['dinner', 'lunch', 'main-course']	Easy ratatouille with poached eggs	['1 tbsp olive oil', '1 large onion, chopped', '1 red or orange pepper, deseeded and thinly sliced', '2 garlic cloves, finely chopped', '1 tbsp chopped rosemary', '1 aubergine, diced', '2 courgettes, diced', '400g can chopped tomatoes', '1 tsp balsamic vinegar', '4 large eggs', 'handful basil leaves']	Easy	['Freezable (Can be frozen without eggs)', 'Gluten-free', 'Healthy', 'Vegetarian']
['indian']	['condiment']	Green tomato & apple chutney	['4 tbsp olive oil', '1kg onions, chopped', '6 garlic cloves, finely chopped', '1 tbsp mixed spice', '1 heaped tsp yellow mustard seeds', '1 tsp chilli flakes (optional)', '2 bay leaves', '2kg green tomatoes, roughly chopped', '500g cooking apples, peeled and diced', '850ml cider vinegar', '500g light soft brown sugar', '200g soft pitted dates, chopped', '200g sultanas', '1 tbsp flaky sea salt (or 1 heaped tsp coarse crystal)']	Easy	['Gluten-free', 'Vegetarian']
