cuisine	types	name	ingredients	difficulty	health_banners	instructions	link
['british']	['dinner']	Beef wellington	['a good beef fillet (preferably Aberdeen Angus) of around 1kg/2lb 4oz', '3 tbsp olive oil', '250g/9oz chestnut mushroom, include some wild ones if you like', '50g/2oz butter', '1 large sprig fresh thyme', '100ml/3.5 fl oz dry white wine', '12 slices prosciutto', '500g/1lb 2oz pack puff pastry, thawed if frozen', 'a little flour, for dusting', '2 egg yolks beaten with 1 tsp water']	A challenge	['Freezable']	['Heat oven to 220C/fan 200C/gas 7.', 'Sit the 1kg beef fillet on a roasting tray, brush with 1 tbsp olive oil and season with pepper, then roast for 15 mins for medium-rare or 20 mins for medium. When the beef is cooked to your liking, remove from the oven to cool, then chill in the fridge for about 20 mins.', 'While the beef is cooling, chop 250g chestnut (and wild, if you like) mushrooms as finely as possible so they have the texture of coarse breadcrumbs. You can use a food processor to do this, but make sure you pulse-chop the mushrooms so they don’t become a slurry.', 'Heat 2 tbsp of the olive oil and 50g butter in a large pan and fry the mushrooms on a medium heat, with 1 large sprig fresh thyme, for about 10 mins stirring often, until you have a softened mixture.', 'Season the mushroom mixture, pour over 100ml dry white wine and cook for about 10 mins until all the wine has been absorbed. The mixture should hold its shape when stirred.', 'Remove the mushroom duxelle from the pan to cool and discard the thyme.', 'Overlap two pieces of cling film over a large chopping board. Lay 12 slices prosciutto on the cling film, slightly overlapping, in a double row.', 'Spread half the duxelles over the prosciutto, then sit the fillet on it and spread the remaining duxelles over.', 'Use the cling film’s edges to draw the prosciutto around the fillet, then roll it into a sausage shape, twisting the ends of cling film to tighten it as you go.', 'Chill the fillet while you roll out the pastry.', 'Dust your work surface with a little flour. Roll out a third of the 500g pack of puff pastry to a 18 x 30cm strip and place on a non-stick baking sheet.', 'Roll out the remainder of the 500g pack of puff pastry to about 28 x 36cm.', 'Unravel the fillet from the cling film and sit it in the centre of the smaller strip of pastry.', 'Beat the 2 egg yolks with 1 tsp water and brush the pastry’s edges, and the top and sides of the wrapped fillet.', 'Using a rolling pin, carefully lift and drape the larger piece of pastry over the fillet, pressing well into the sides.', 'Trim the joins to about a 4cm rim. Seal the rim with the edge of a fork or spoon handle.', 'Glaze all over with more egg yolk and, using the back of a knife, mark the beef Wellington with long diagonal lines taking care not to cut into the pastry.', 'Chill for at least 30 mins and up to 24 hrs. Heat oven to 200C/fan 180C/gas 6.', 'Brush the Wellington with a little more egg yolk and cook until golden and crisp – 20-25 mins for medium-rare beef, 30 mins for medium. Allow to stand for 10 mins before serving in thick slices.']	https://www.bbcgoodfood.com/recipes/beef-wellington
['mexican']	['main-course', 'supper']	Vegetable & bean chilli	['1tbsp olive oil', '1 clove garlic, finely chopped', 'ginger, finely chopped', '1 large onion, chopped', '2 courgettes, diced', '1 red pepper, deseeded and chopped', '1 yellow pepper, deseeded and chopped', '1tbsp chilli powder', '100g red lentils, washed and drained', '1tbsp tomato purée', '2x cans chopped tomatoes', '195g can sweetcorn, drained', '420g can butter beans, drained', '400g can kidney beans in water, drained']	Easy	['Freezable', 'Healthy', 'High-protein', 'Low calorie', 'Vegan', 'Vegetarian']	['Heat the oil in a large pan. Cook the garlic, ginger, onion, courgettes and peppers for about 5 mins until starting to soften. Add the chilli powder and cook for 1 min more.', 'Stir in the lentils, tomato purée, tomatoes and 250ml water. Bring to the boil and cook for 15-20 mins.', 'Add the sweetcorn and beans, and cook for a further 10 mins.']	https://www.bbcgoodfood.com/recipes/vegetable-bean-chilli
	['dinner', 'lunch', 'supper']	Vegan burritos	['4 large or 8 small  tortilla wraps', '2 large handfuls spinach leaves, shredded', '1 avocado, thinly sliced (optional)', 'hot sauce, to serve', '1 tbsp oil', '1 garlic clove, crushed', '1 tbsp chipotle paste', '400g can chopped tomatoes', '400g black beans, drained ', '1 bunch coriander, chopped', '250g wholegrain rice, cooked and drained', '1 lime, juiced', '½ red onion, very finely chopped', '50g hazelnuts, roughly chopped']	Easy	['Vegan', 'Vegetarian']	['To make the beans, heat the oil in a pan and fry the garlic for a minute, then stir in the chipotle paste. Tip in the tomatoes, stir and bring to a simmer. Season with salt. Simmer until thick, add the beans and cook briefly (make sure any water gets cooked off), then stir in the coriander.', 'If you are using cold cooked rice, then warm it through, stir in the lime juice, red onion and nuts and season well.', 'Lay out the tortillas and sprinkle over some spinach, add some avocado slices and some rice, then top with the bean mix. Add a shake of hot sauce, if you like. Roll the bottom up, then fold the sides in to stop the filling falling out as you roll. Wrap tightly in foil, if you like, and cut in half.']	https://www.bbcgoodfood.com/recipes/vegan-burritos
['indian']	['dinner', 'main-course']	Lamb biryani	['400g lamb neck, cut into small cubes', '4 garlic cloves, grated', '1 tbsp finely grated  ginger', '1 tbsp sunflower oil', '1 large onion, chopped', '1 tbsp cumin seeds', '1 tbsp nigella seeds', '1 tbsp Madras spice paste', '200g basmati rice, rinsed well', '8 curry leaves', '400ml good-quality lamb or chicken stock', '100g paneer, chopped', '200g spinach, cooked and water squeezed out', 'chopped coriander', 'sliced green chillies', 'plain yogurt']	Easy	[]	['Toss the lamb in a bowl with the garlic, ginger and a large pinch of salt. Marinate in the fridge overnight or for at least a couple of hours.', 'Heat the oil in a casserole. Fry the lamb for 5-10 mins until starting to brown. Add the onion, cumin seeds and nigella seeds, and cook for 5 mins until starting to soften. Stir in the curry paste, then cook for 1 min more. Scatter in the rice and curry leaves, then pour over the stock and bring to the boil. Meanwhile, heat oven to 180C/160C fan/gas 4.', 'Stir in the paneer, spinach and some seasoning. Cover the dish with a tight lid of foil, then put the lid on to ensure it’s well sealed. Cook in the oven for 20 mins, then leave to stand, covered, for 10 mins. Bring the dish to the table, remove the lid and foil, scatter with the coriander and chillies and serve with yogurt on the side.']	https://www.bbcgoodfood.com/recipes/lamb-biryani
['spanish']	['dinner', 'main-course', 'supper']	Spanish meatball & butter bean stew	['350g lean pork mince', '2 tsp olive oil', '1 large red onion, chopped', '2 peppers, sliced, any colour will do', '3 garlic cloves, crushed', '1 tbsp sweet smoked paprika', '2 x 400g cans chopped tomatoes', '400g can butter beans, drained', '2 tsp golden caster sugar', 'small bunch parsley, chopped', 'crusty bread, to serve (optional)']	Easy	['Freezable', 'Gluten-free']	['Season the pork, working the seasoning in with your hands, then shape into small meatballs. Heat the oil in a large pan, add the meatballs and cook for 5 mins, until golden brown all over. Push to one side of the pan and add the onion and peppers. Cook for a further 5 mins, stirring now and then, until the veg has softened, then stir in the garlic and paprika. Stir everything around in the pan for 1 min, then add the tomatoes. Cover with a lid and simmer for 10 mins.', 'Uncover, stir in the beans, the sugar and some seasoning, then simmer for a further 10 mins, uncovered. Just before serving, stir in the parsley. Serve with crusty bread for dunking, if you like.']	https://www.bbcgoodfood.com/recipes/spanish-meatball-butter-bean-stew
['indian']	['dinner', 'lunch', 'main-course', 'supper', 'vegetable']	Carrot biryani	['2 tbsp olive oil', '1 onion, sliced', '1 green chilli, chopped (deseeded if you don’t like it very hot)', '1 garlic clove, peeled', '1 tbsp garam masala', '1 tsp turmeric', '3 carrots, grated', '2 x 200g pouch brown  basmati rice', '150g frozen peas', '50g roasted cashews', 'coriander and yogurt, to serve']	Easy	['Vegetarian']	['Heat the oil in a large frying pan, tip in the onion with a big pinch of salt and fry until softened, around 5 mins, then add the chilli and crush in the garlic and cook for 1 min more. Stir in the spices with a splash of water and cook for a couple of mins before adding the carrots and stirring well to coat in all of the spices and flavours.', 'Tip in the rice, peas and cashews, then use the back of your spoon to break up any clumps of rice and combine with the rest of the ingredients, cover and cook over a high heat for 5 mins (it’s nice if a bit of rice catches on the base to give a bit of texture to the dish). Scatter over the coriander with spoonfuls of yogurt, then serve straight from the pan.']	https://www.bbcgoodfood.com/recipes/carrot-biriyani
		One-pot sausage casserole with garlic breadcrumbs	['3 tbsp olive oil, plus an extra drizzle (optional)', '8 large pork sausages', '1 onion, finely sliced', 'sprinkle of golden caster sugar', '1 tbsp red wine vinegar', '1 tbsp tomato purée', '½ tsp smoked paprika', '400g can chopped tomatoes', '100ml red wine', '2 bay leaves', '400g can butter beans, drained but not rinsed', '50g fresh breadcrumbs', '2 garlic cloves, finely grated', 'handful of parsley leaves, roughly chopped']	Easy	[]	['Heat the oven to 220C/200C fan/gas 7. Heat 1 tbsp of the oil in a shallow ovenproof casserole over a medium heat and gently fry the sausages for 5-8 mins, or until brown on all sides. Transfer to a plate using tongs. Tip the onions into the pan and fry for 5-8 mins until beginning to turn golden. Drizzle in a little more oil if the onions start to stick. Sprinkle in the sugar and cook for a minute before stirring in the vinegar, tomato purée and paprika to form a paste. Tip in the tomatoes, then pour the wine into the tomato can, swish it round, and add to the pan. Stir in the bay leaves and beans, then arrange the sausages on top so they’re half-submerged in the sauce but still a little exposed.', 'Bring the mixture to a simmer, then bake in the oven for 20 mins. Meanwhile, make the topping. Mix the breadcrumbs with the garlic and parsley, then season and stir in 1 tbsp oil. Scatter the topping over the casserole, then drizzle with the remaining 1 tbsp oil and bake for 10 mins more until the breadcrumbs are golden and crisp. Leave to stand for a few minutes, then take to the table and serve from the dish.']	https://www.bbcgoodfood.com/recipes/one-pot-sausage-casserole-with-garlic-breadcrumbs
['asian']	['main-course']	Salmon stir-fry	"[""2 x 100g salmon fillets (plus 2 more 100g salmon fillets if cooking for Flaked salmon salad lunch - see 'goes well with')"", '2 tsp reduced salt tamari or soy sauce', '2cm piece ginger, peeled and finely chopped or grated', '1 garlic clove, finely chopped', '2 tbsp lemon or lime juice', '1 tsp sesame oil', '85g vermicelli rice noodle', '2 tsp rapeseed oil', '1 tsp sesame oil', '1 spring onion, trimmed and thinly sliced', '1 garlic clove, finely chopped', '½ red chilli, deseeded and finely chopped', '2cm piece ginger, peeled and finely chopped', '100g sugar snap pea', '100g pak choi (or spinach)', '1 large red pepper, sliced', '1 tsp tamari or soy sauce', '1 tsp Thai fish sauce', 'juice ½ lime', '1 tbsp finely chopped coriander']"	Easy	['High-protein']	"['Make the marinade by mixing together all the ingredients. Place the salmon fillets in a small bowl and spoon over the marinade, turning the fish so that it’s nicely coated. Cover with cling film and leave to sit for 10 mins (or longer if you have time).', 'Meanwhile, cook the noodles following pack instructions, then drain and sit them in a bowl of cold water.', ""Heat a non-stick frying pan. Add the salmon fillets, skin-side down, and leave for 3 mins. When the fish is slightly crispy, flip over and cook for a further 3 mins on the other side. Just before you remove the fish from the pan, add any remaining marinade and let it sizzle for 10 secs. Place 2 of the fillets, skin-side up, with their juices on a plate and cover with foil to keep warm. Put the other 2 fillets on another plate if using for Flaked salmon salad (see 'goes well with'), cover with foil, leave to cool, then chill."", 'In a frying pan or wok, heat the rapeseed and sesame oils over a high heat. Add the spring onion, garlic, chilli and ginger, and stir constantly for about 1 min. Add the sugar snap peas, pak choi and pepper, and stir for another 1-2 mins, then add the cooked noodles. Toss well, then add the soy sauce, fish sauce and lime juice, and mix until well combined and the pan is sizzling.', 'Remove from the heat and divide between 2 bowls. Top each with a salmon fillet and drizzle over any juices. Sprinkle with coriander and serve.']"	https://www.bbcgoodfood.com/recipes/crispy-asian-salmon-stir-fried-noodles-pak-choi-sugar-snap-peas
	['dinner', 'lunch', 'supper']	15-minute chicken & halloumi burgers	['2 skinless chicken breasts', '1 tbsp oil, plus extra for frying the halloumi, if needed', '4 tbsp piri-piri sauce or other mild chilli sauce, plus extra for drizzling', '½ lemon, juiced', 'burger buns, split in half', '250g block lighter halloumi, sliced into 8 pieces', '¼ small white cabbage, finely sliced', '2 tbsp mayonnaise', '4 tbsp hummus, tzatziki or soured cream & chive dip', 'handful of  rocket or 4-8 soft lettuce leaves', '2 large roasted red peppers from a jar, drained and sliced']	Easy	[]	['Put the chicken breasts between two pieces of baking parchment and bash with a rolling pin until 1cm thick. Cut each into two even pieces. ', 'Heat two frying pans over a medium-high heat, heating the oil in one. Fry the chicken in the oiled pan for 3-4 mins on each side until cooked through. Season. Reduce the heat, drizzle in the chilli sauce and half the lemon juice and cook for 1-2 mins more until the sauce is reduced. Remove from the heat.', 'While the chicken cooks, toast the buns in the dry frying pan for 30 secs. Transfer to a plate, then fry the halloumi in the pan (add a bit of oil if the pan is not non-stick) for 30 secs on each side until golden. Toss the cabbage with the mayo and remaining lemon juice.', 'Spoon the hummus (or dip of your choice) into the toasted buns, then top with the rocket, chilli chicken, halloumi and peppers. Drizzle with a little more chilli sauce, spoon over the cabbage, season with black pepper, and top with the bun lids. Serve with any extra cabbage on the side, or a green salad.']	https://www.bbcgoodfood.com/recipes/15-minute-chicken-halloumi-burgers
	['dinner', 'supper']	Tomato & spinach kitchari	['130g basmati rice', '200g split red lentils', '3 tbsp olive oil', '1 onion, finely sliced', '1 thumb-sized piece ginger, finely grated', '2 garlic cloves, crushed', '2 tsp turmeric', '2 tsp ground  coriander', '2 tsp cumin seeds', '1-2 tsp  medium chilli powder', '1.2l vegetable stock', '150g cherry tomatoes', '200g spinach', '1 red chilli, finely chopped', 'chapatis, to serve (optional)']	Easy	['Freezable', 'Healthy', 'Vegetarian']	['Tip the rice and lentils into a sieve and rinse thoroughly under cold, running water. Set aside.', 'Heat 1 tbsp of the oil in a large saucepan or casserole. Add the onion along with a pinch of salt and fry over a medium-high heat for 10 mins or until golden. Stir through the ginger, garlic, turmeric, ground coriander, half the cumin seeds and the chilli powder and fry for 1 min. Add the rice and lentils to the pan and pour in the stock, bring to a simmer then cover, turn down and cook for 25 mins, stirring now and then, until the lentils have turned creamy. Add the tomatoes and spinach and cook for 5 mins.', 'Heat the remaining oil in a small frying pan and add the remaining cumin seeds, cooking for 1 min. Spoon the lentils into four bowls, drizzle over the cumin oil and top with the chilli. Serve with warm chapatis, if you like.']	https://www.bbcgoodfood.com/recipes/tomato-spinach-kitchari
